"browser","version","useragent_string","first_visit","last_visit","detail_url"
"Chrome","34.0.1847.116","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36 Mozilla/5.0 (iPad; U; CPU OS 3_2 like Mac OS X; en-us) AppleWebKit/531.21.10 (KHTML, like Gecko) Version/4.0.4 Mobile/7B334b Safari/531.21.10",2014-04-20 03:48:00,2026-01-13 07:27:00,"/Chrome34.0.1847.116_id_19787.php"
"Chrome","33.0.1750.517","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.517 Safari/537.36",2014-11-22 09:44:00,2025-09-10 08:36:00,"/Chrome33.0.1750.517_id_19849.php"
"Chrome","32.0.1667.0","Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1667.0 Safari/537.36",2013-10-11 03:43:00,2025-12-29 08:57:00,"/Chrome32.0.1667.0_id_19732.php"
"Chrome","32.0.1664.3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1664.3 Safari/537.36",2013-10-11 04:05:00,2026-01-04 02:42:00,"/Chrome32.0.1664.3_id_19729.php"
"Chrome","32.0.1664.3","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1664.3 Safari/537.36",2014-06-14 09:21:00,2025-02-05 05:31:00,"/Chrome32.0.1664.3_id_19807.php"
"Chrome","31.0.1650.16","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.16 Safari/537.36",2013-10-11 04:16:00,2023-12-04 01:57:00,"/Chrome31.0.1650.16_id_19728.php"
"Chrome","31.0.1623.0","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1623.0 Safari/537.36",2013-10-11 03:53:00,2023-11-30 06:36:00,"/Chrome31.0.1623.0_id_19730.php"
"Chrome","30.0.1599.17","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.17 Safari/537.36",2013-08-25 05:24:00,2025-10-28 01:58:00,"/Chrome30.0.1599.17_id_19721.php"
"Chrome","29.0.1547.62","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",2013-08-27 04:27:00,2025-10-08 11:28:00,"/Chrome29.0.1547.62_id_19709.php"
"Chrome","29.0.1547.57","Mozilla/5.0 (X11; CrOS i686 4319.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36",2013-08-25 04:26:00,2026-01-12 12:52:00,"/Chrome29.0.1547.57_id_19722.php"
"Chrome","29.0.1547.2","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.2 Safari/537.36",2013-06-26 05:17:00,2025-12-02 01:13:00,"/Chrome29.0.1547.2_id_19707.php"
"Chrome","28.0.1468.0","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1468.0 Safari/537.36",2013-04-08 06:55:00,2025-09-26 03:18:00,"/Chrome28.0.1468.0_id_19618.php"
"Chrome","28.0.1467.0","Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1467.0 Safari/537.36",NA,2025-07-23 01:34:00,"/Chrome28.0.1467.0_id_19617.php"
"Chrome","28.0.1464.0","Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1464.0 Safari/537.36",2013-04-08 05:35:00,2025-07-28 01:27:00,"/Chrome28.0.1464.0_id_19619.php"
"Chrome","27.0.1500.55","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1500.55 Safari/537.36",2014-06-13 10:02:00,2023-10-27 12:34:00,"/Chrome27.0.1500.55_id_19811.php"
"Chrome","27.0.1453.93","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36",2013-05-22 05:34:00,2024-11-11 11:45:00,"/Chrome27.0.1453.93_id_19671.php"
"Chrome","27.0.1453.93","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36",2013-05-22 05:29:00,2025-06-29 10:50:00,"/Chrome27.0.1453.93_id_19675.php"
"Chrome","27.0.1453.93","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36",2013-05-22 05:40:00,2024-10-01 06:59:00,"/Chrome27.0.1453.93_id_19669.php"
"Chrome","27.0.1453.93","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36",2013-05-22 05:25:00,2025-08-30 08:32:00,"/Chrome27.0.1453.93_id_19676.php"
"Chrome","27.0.1453.93","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36",2013-05-22 05:32:00,2025-09-20 07:26:00,"/Chrome27.0.1453.93_id_19674.php"
"Chrome","27.0.1453.93","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36",2013-05-22 05:36:00,2024-12-20 08:55:00,"/Chrome27.0.1453.93_id_19670.php"
"Chrome","27.0.1453.90","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36",2014-04-20 01:56:00,2025-12-30 12:23:00,"/Chrome27.0.1453.90_id_19789.php"
"Chrome","27.0.1453.116","Mozilla/5.0 (X11; NetBSD) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36",2014-06-14 04:12:00,2023-10-23 12:33:00,"/Chrome27.0.1453.116_id_19809.php"
"Chrome","27.0.1453.116","Mozilla/5.0 (X11; CrOS i686 3912.101.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36",2013-06-26 05:51:00,2025-09-26 08:44:00,"/Chrome27.0.1453.116_id_19705.php"
"Chrome","24.0.1312.60","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.60 Safari/537.17",2013-02-12 09:41:00,2025-08-21 01:19:00,"/Chrome24.0.1312.60_id_19611.php"
"Chrome","24.0.1309.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1309.0 Safari/537.17",2012-10-28 09:35:00,2025-12-26 01:24:00,"/Chrome24.0.1309.0_id_19607.php"
"Chrome","24.0.1295.0","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.15 (KHTML, like Gecko) Chrome/24.0.1295.0 Safari/537.15",2012-10-15 01:31:00,2023-10-28 02:32:00,"/Chrome24.0.1295.0_id_19584.php"
"Chrome","24.0.1292.0","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.14 (KHTML, like Gecko) Chrome/24.0.1292.0 Safari/537.14",2012-10-11 07:55:00,2025-08-29 06:17:00,"/Chrome24.0.1292.0_id_19593.php"
"Chrome","24.0.1290.1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.13 (KHTML, like Gecko) Chrome/24.0.1290.1 Safari/537.13",2012-10-12 04:36:00,2025-12-22 06:15:00,"/Chrome24.0.1290.1_id_19591.php"
"Chrome","24.0.1290.1","Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.13 (KHTML, like Gecko) Chrome/24.0.1290.1 Safari/537.13",2012-10-14 01:32:00,2025-07-08 07:58:00,"/Chrome24.0.1290.1_id_19586.php"
"Chrome","24.0.1290.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.13 (KHTML, like Gecko) Chrome/24.0.1290.1 Safari/537.13",2012-10-14 12:12:00,2025-06-16 11:50:00,"/Chrome24.0.1290.1_id_19580.php"
"Chrome","24.0.1290.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.13 (KHTML, like Gecko) Chrome/24.0.1290.1 Safari/537.13",2012-10-13 10:25:00,2024-11-10 09:00:00,"/Chrome24.0.1290.1_id_19581.php"
"Chrome","24.0.1284.0","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.13 (KHTML, like Gecko) Chrome/24.0.1284.0 Safari/537.13",2012-10-01 09:49:00,2025-04-23 01:14:00,"/Chrome24.0.1284.0_id_19336.php"
"Chrome","23.0.1271.6","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.6 Safari/537.11",2013-10-11 03:50:00,2023-07-03 09:54:00,"/Chrome23.0.1271.6_id_19731.php"
"Chrome","23.0.1271.6","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.6 Safari/537.11",2012-10-01 10:23:00,2024-12-26 11:10:00,"/Chrome23.0.1271.6_id_19334.php"
"Chrome","23.0.1271.26","Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.26 Safari/537.11",2012-10-13 03:31:00,2025-07-06 08:15:00,"/Chrome23.0.1271.26_id_19590.php"
"Chrome","23.0.1271.26","Mozilla/5.0 (Windows NT 6.0) yi; AppleWebKit/345667.12221 (KHTML, like Gecko) Chrome/23.0.1271.26 Safari/453667.1221",2013-04-08 09:15:00,2024-12-27 07:20:00,"/Chrome23.0.1271.26_id_19616.php"
"Chrome","23.0.1271.17","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.17 Safari/537.11",2012-10-07 12:42:00,2025-12-24 04:52:00,"/Chrome23.0.1271.17_id_19362.php"
"Chrome","22.0.1229.94","Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4",2012-10-12 03:07:00,2024-11-17 07:49:00,"/Chrome22.0.1229.94_id_19592.php"
"Chrome","22.0.1229.79","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_0) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4",2012-10-01 10:17:00,2025-05-02 03:36:00,"/Chrome22.0.1229.79_id_19335.php"
"Chrome","22.0.1216.0","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.2 (KHTML, like Gecko) Chrome/22.0.1216.0 Safari/537.2",2012-10-02 12:50:00,2024-03-28 10:48:00,"/Chrome22.0.1216.0_id_19333.php"
"Chrome","22.0.1207.1","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/22.0.1207.1 Safari/537.1",2012-07-17 09:59:00,2025-12-10 11:36:00,"/Chrome22.0.1207.1_id_19319.php"
"Chrome","20.0.1132.57","Mozilla/5.0 (X11; CrOS i686 2268.111.0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",2012-07-18 01:34:00,2025-12-08 03:29:00,"/Chrome20.0.1132.57_id_19301.php"
"Chrome","20.0.1092.0","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.6 (KHTML, like Gecko) Chrome/20.0.1092.0 Safari/536.6",2012-04-05 07:56:00,2025-11-17 02:00:00,"/Chrome20.0.1092.0_id_19151.php"
"Chrome","20.0.1090.0","Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.6 (KHTML, like Gecko) Chrome/20.0.1090.0 Safari/536.6",2012-04-04 02:02:00,2025-11-20 06:56:00,"/Chrome20.0.1090.0_id_19282.php"
"Chrome","19.77.34.5","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/19.77.34.5 Safari/537.1",2012-07-17 11:10:00,2026-01-03 09:55:00,"/Chrome19.77.34.5_id_19313.php"
"Chrome","19.0.1084.9","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.9 Safari/536.5",2012-04-05 06:16:00,2025-07-29 11:59:00,"/Chrome19.0.1084.9_id_19229.php"
"Chrome","19.0.1084.56","Mozilla/5.0 (X11; FreeBSD amd64) AppleWebKit/536.5 (KHTML like Gecko) Chrome/19.0.1084.56 Safari/1EA69",2014-11-22 12:54:00,2024-09-08 07:00:00,"/Chrome19.0.1084.56_id_19856.php"
"Chrome","19.0.1084.36","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.36 Safari/536.5",2012-04-28 10:46:00,2025-08-03 09:59:00,"/Chrome19.0.1084.36_id_19269.php"
"Chrome","19.0.1063.0","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1063.0 Safari/536.3",2012-03-08 03:12:00,2025-10-19 01:31:00,"/Chrome19.0.1063.0_id_19161.php"
"Chrome","19.0.1063.0","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1063.0 Safari/536.3",2012-07-18 01:21:00,2025-11-20 06:55:00,"/Chrome19.0.1063.0_id_19303.php"
"Chrome","19.0.1063.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1063.0 Safari/536.3",2012-03-07 10:05:00,2025-09-03 11:47:00,"/Chrome19.0.1063.0_id_19165.php"
"Chrome","19.0.1062.0","Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1062.0 Safari/536.3",2012-03-07 04:47:00,2025-10-11 07:26:00,"/Chrome19.0.1062.0_id_19171.php"
"Chrome","19.0.1062.0","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1062.0 Safari/536.3",2012-03-07 10:32:00,2025-05-24 01:28:00,"/Chrome19.0.1062.0_id_19164.php"
"Chrome","19.0.1061.1","Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1061.1 Safari/536.3",2012-03-07 02:16:00,2025-12-02 03:13:00,"/Chrome19.0.1061.1_id_19176.php"
"Chrome","19.0.1061.1","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1061.1 Safari/536.3",2012-03-07 04:50:00,2025-07-29 11:24:00,"/Chrome19.0.1061.1_id_19169.php"
